HANDELSID,TID,PRIS,VOLUM,TYPE
1IV251ATJ,16:17:51,268.30,46,Exchange Continuous
1IV251ATI,16:17:51,268.30,390,Exchange Continuous
1IV251ATH,16:17:51,268.30,459,Exchange Continuous
1IV251ATF,16:17:32,268.35,57,Exchange Continuous
1IV251ATE,16:17:32,268.35,183,Exchange Continuous
1IV251ATD,16:17:32,268.35,253,Exchange Continuous
1IV251ATC,16:17:30,268.35,157,Exchange Continuous
1IV251ATA,16:17:16,268.40,388,Exchange Continuous
1IV251AT9,16:17:16,268.40,334,Exchange Continuous
1IV251AT8,16:17:16,268.40,21,Exchange Continuous
1IV251AT7,16:17:07,268.40,245,Exchange Continuous
1IV251AT1,16:16:25,268.35,8,Exchange Continuous
1IV251AT0,16:16:11,268.35,413,Exchange Continuous
1IV251ASZ,16:16:11,268.35,10,Exchange Continuous
1IV251ASP,16:15:32,268.25,3 573,Retail Matching Facility
1IV251ASO,16:15:32,268.25,847,Retail Matching Facility
1IV251ASN,16:15:32,268.25,600,Retail Matching Facility
1IV251ASM,16:15:32,268.30,436,Exchange Continuous
1IV251ASL,16:15:32,268.30,117,Exchange Continuous
1IV251ASK,16:15:32,268.30,600,Retail Matching Facility
1IV251AS9,16:15:05,268.25,7,Exchange Continuous
1IV251AS8,16:15:05,268.25,14,Exchange Continuous
1IV251AS7,16:15:02,268.30,50,Exchange Continuous
1IV251AS6,16:15:00,268.30,213,Exchange Continuous
1IV251AS5,16:15:00,268.30,213,Exchange Continuous
1IV251AS3,16:14:53,268.35,436,Exchange Continuous
1IV251AS2,16:14:53,268.35,70,Exchange Continuous
1IV251AS1,16:14:53,268.35,66,Exchange Continuous
1IV251ARZ,16:14:48,268.35,12,Exchange Continuous
1IV251ARY,16:14:48,268.35,101,Exchange Continuous
1IV251ARX,16:14:48,268.30,245,Exchange Continuous
1IV251ARW,16:14:48,268.30,124,Exchange Continuous
1IV251ARR,16:14:26,268.25,309,Exchange Continuous
1IV251ARQ,16:14:26,268.25,436,Exchange Continuous
